Código,NOMBRE DE LUGAR POBLADO,C1,C2
10223006,QUEBRADA CONEJO (P),2,4
10223007,SAN SAN (P),4,0
10223008,VICIRA,52,156
10223009,WASHOUTH,44,170
10301002,QUEBRADA EL BAJO,89,545
10301013,CASAS VIEJAS O BARRIADA EL CAMPESINO,121,265
10301017,CHIRIQUÍ GRANDE,603,1606
10301033,JUAN CUERO,1,3
10301037,MANC REEK O LA MESA,2,3
10301053,PLATANERITO,19,36
10301058,QUEBRADA LIMÓN (P),48,145
10301120,EL CRUDO Ó AGUACATE,6,14
10301121,ÁRBOL DE PAN,2,14
10301123,PIÑA,41,200
10301176,RÍO DAIRA (P),3,0
10301178,ALTO CLARO (P),3,0
10301179,BOCA DE RÍO DAIRA (P),7,0
10301181,MARGARITA Ó QUEBRADA MAN CREEK,1,0
10301183,CHIRIQUICITO No.2 (P),19,71
10301184,BOCA DE MAN CREEK (P),6,18
10301185,MATA CACAO,2,1
10301186,1 DE NOVIEMBRE,51,99
10301187,QUEBRADA CAMARÓN,45,176
10301189,PANAGRO,125,466
10301190,RAMBALA (P),1,1
10301191,GUARIVIARA O LA PLAYITA,4,10
10301192,EL BÚFALO,81,88
10301193,EL CAIMÁN,103,130
10302005,GUALACA O GUALAQUITA,52,107
10302006,LA GLORIA (P),9,16
10302007,LOS CEDEÑOS (P),4,5
10302008,LOS CHIRICANOS,76,278
10302009,MIRAMAR,143,298
10302012,LA ESPERANZA,22,17
10302013,LOS FRANCESES,6,8
10302014,ALTO COCO,5,0
10303001,CAÑAZA,276,1068
10303002,ENTRADA DE PUEBLO NUEVO,39,116
10303004,LOS ALVARADOS,9,14
10303005,PASO CATALINA,40,98
10303006,PUNTA PEÑA,596,1214
10303007,QUEBRADA CAMARÓN,72,141
10303008,RAMBALA (P),153,364
10303009,CAÑAZAS No.2,8,15
10303010,HIGUERÓN (P),9,30
10303011,HIGUERÓN MELLIZOS ARRIBA (P),1,0
10304028,LAS CAÑAS (P),103,432
10304032,LOS MOLEJONES (P),85,370
10304035,NORTEÑO (P),22,83
10304036,PALMA REAL (P),54,150
10304037,PUNTA RÓBALO,53,107
10304044,SPANISH TOWN,26,121
10304057,VALLE SECO,47,164
10304076,LOS GUAYABALES,13,19
10304078,ALTO ZAPATERO,48,143
10304079,ALTO PALMA,5,0
10304080,CILICO CREEK (P),6,8
10305001,BARRANQUILLA NO.3 (P),25,57
10305002,BOCA DE GUARUMITO,39,96
10305003,CHIRIQUICITO O SOLATE,7,19
10305004,CHIRIQUICITO NO.2 (P),39,48
10305005,EL GUARUMO,54,93
10305006,GUARUMITO (P),6,8
10305007,GUARUMITO No.2 O CHIRIQUICITO No.1 (P),8,19
10305008,LA MILAGROSA,96,178
10305009,RAMBALA (P),343,673
10305010,NUEVA ESTRELLA (P),68,174
10306001,ÁFRICA (P),6,7
10306002,BAJO CEDRO,179,736
10306003,EL ESCOBAL,29,121
10306004,EL TAMARINDO,20,56
10306005,LA LOMA O LOMA BONITA,9,9
10306006,LOMA DE NONI,26,89
10306007,LOMA VENADO O PALMITO (P),9,14
10306008,PUERTO DEL DIABLO,3,2
10306009,QUEBRADA GARZA,46,174
10306010,TRAICIONERA,9,20
10306011,VALLE SARÓN O BIGOTE,101,565
10306012,EL  TAPAO,5,1
10306013,LA CONGA (P),14,38
10306014,RANCHO QUEMAO,1,3
10306015,QUEBRADA MARÍN,11,18
10401001,ALMIRANTE (P),1525,4114
10401003,LA BOMBA (P),8,22
10401006,MILLA 2 (P),62,131
10401008,MILLA 3 (P),12,46
10401062,BARRIADA NUEVO ALMIRANTE,212,490
10401065,LOMA BRAVA (P),9,5
10401066,RESIDENCIAL ALMIRANTE BAY,104,78
10402001,ALMIRANTE (P),803,2160
10402003,PUNTA BELLA,8,32
10402005,LOMA BRAVA (P),2,0
10403001,ALMIRANTE (P),673,2334
