Código,NOMBRE DE LUGAR POBLADO,C1,C2
70102009,LAGARTILLO,108,209
70102010,LA LOMA,18,33
70102011,LA CALZADA,14,27
70102013,TIERRA BLANCA,46,97
70102015,EL NANZAL (P),1,2
70103001,BUENA VISTA,1,1
70103002,CANAJAGUA (P),40,22
70103003,CUCULA,38,78
70103004,CUCULITA,10,22
70103005,EL MACANO,24,28
70103006,LA GUINEA,11,25
70103007,LOS CALABACITOS,7,10
70103008,LOS TORETOS,14,17
70103009,NALU,17,11
70103011,SANTA ANA,28,39
70104001,GUARARÉ ARRIBA,204,348
70104003,EL COCO O PUEBLO NUEVO,22,30
70104004,QUEBRADA GRANDE (P),2,0
70104005,LA GUACA,1,0
70104007,EL BERBESÍ,2,1
70104008,LAS PEÑAS,1,0
70105002,EL PUERTO,47,18
70105003,LA ALBINA DEL CALABAZO,2,1
70105004,LA ENEA,752,1558
70105006,LOS CUERNITOS,62,96
70105008,PLAYA BELLA VISTA,20,9
70105009,EL PALACIO,4,6
70105010,PLAYA LONGORONAL,1,0
70106001,EL NANZAL (P),17,38
70106002,LA PASERA,293,697
70106004,EL MONTERO (P),113,244
70106005,BARRIADA SANTA LIBRADA,36,102
70106006,RESIDENCIAL EL MONTERO (P),28,41
70106007,BARRIADA LAS MERCEDES,22,45
70106008,RESIDENCIAL MARÍA BONITA,122,78
70107001,CAÑAFÍSTULO,14,29
70107002,EL CODICIOSO,26,40
70107003,CHUMICAL (P),3,1
70107004,EL RODEO,17,22
70107005,GIRÓN,11,18
70107006,LA FLOR,29,43
70107007,LA PALMA,52,103
70107008,LA PITA,6,16
70107009,LAS TRANCAS,82,139
70107010,LAS TRANQUITAS,43,87
70107012,EL TORO O CERRO EL TORO,12,17
70108008,LA PEÑA,64,139
70108011,LLANO ABAJO,181,333
70108012,LLANO DE LA PALMA,21,42
70108013,LOS CERRITOS,26,33
70108018,LLANO DE LOS CASTROS,14,24
70108019,CHUMICAL (P),3,3
70108020,EL CHILENO,2,0
70109001,EL HATO,119,220
70109002,EL BIJAO,2,2
70109003,EL JOBO O LOS GUTIÉRREZ,17,26
70109004,EL TABACAL O SANTA RITA,33,45
70109005,LA HORQUETILLA,5,11
70109006,QUEBRADA GRANDE (P),9,3
70109007,SANTA ROSA,34,59
70109008,SANTA ROSITA,4,3
70110001,PERALES (P),126,236
70110003,SANTA ISABEL,94,183
70201001,LAS TABLAS (P),4166,8615
70201002,EL MONTERO (P),18,40
70202001,AGUA BUENA,2,1
70202002,BAJO CORRAL,139,188
70202003,EL GUANÁBANO,16,31
70202004,LA ARENA,8,4
70202005,LOS JUJUCALES,2,0
70202006,LOS OTOES,2,0
70202007,QUEBRADA GRANDE DEL TEBUJO,58,98
70202011,LAS LAGUNITAS,74,143
70202012,QUEBRADA BUSTAMANTE (P),1,0
70202014,EL CUACO,2,0
70202016,CIRGÜELERA,3,0
70202017,EL CHICHICOSO,2,0
70202018,LA LIÓN,1,0
70202020,LOMA GRANDE,3,0
70203001,ALTO DE LOS GONZÁLEZ,3,3
70203002,BAYANO,127,251
70203003,CANAJAGUA (P),38,33
70203005,EL FERMÍN,4,7
70203006,EL GUAYABO (P),4,5
70203007,EL MESO,16,29
70203008,EL PERFECTO,3,1
70203009,EL SALITRE,7,15
70203011,FLOR AMARILLA,40,40
70203013,LA CANOA,24,50
70203014,MONAGRILLO (P),1,0
70203016,LAS LAJITAS,8,7
70203017,LAS PLACETAS,2,1
70203020,LOS BORRIGUEROS,10,9
70203021,LOS CHIQUEROS,2,0
70203022,LOS MUÑOCES,6,11
70203023,LOS PIROS,7,10
70203024,EL CRUCE DE FLOR AMARILLA,6,10
70203027,ORIA ABAJO,3,0
70203028,ORIA ARRIBA,33,24
70203029,QUEMA (P),12,17
70203030,QUEBRADA GRANDE,25,25
70203031,TABOGA,20,14
70203035,EL CACAO,1,0
70203036,EL CIRUELITO,23,40
70203037,EL CORO,1,2
70203038,MARÍN,1,1
70203039,LOS YERBOS,2,2
70203040,EL SILENCIO,2,0
70203041,LAS TOTUMITAS (P),1,0
70203042,BLAS,1,0
70203043,LOS CERRITOS,1,0
70203044,EL PICACHO DE PALMIRA (P),1,1
70204001,EL CARATE,160,343
70204002,EL GUAYABO (P),124,279
70204003,EL RINCÓN,91,201
70204004,EL BIJAO,48,88
70204005,LA GALLINAZA (P),8,16
70204006,LA ISLA,26,62
70204007,MORALES,68,133
70204009,RESIDENCIAL COLINAS DEL CARATE,99,186
70205001,EL COCAL,484,1025
70205003,LA GALLINAZA (P),185,381
70205004,LLANO AFUERA,114,257
70205005,LLANO GRANDE O MIRAFLORES,107,220
70205011,EL GUAYABO (P),15,24
70205012,BARRIADA SAN ANTONIO,26,39
70205013,BARRIADA SAN PABLO,32,81
70205015,BARRIADA SAN PEDRO (P),15,28
70205016,RESIDENCIAL LA ARBOLEDA,74,181
70205017,VÍA LLANO AFUERA,11,27
70205018,RESIDENCIAL ALTOS DE LA ARBOLEDA,38,18
70205019,ALTOS DE SAN FRANCISCO,13,32
70205020,RESIDENCIAL SAN ANTONIO,14,20
70205021,RESIDENCIAL VILLA MARIE,16,0
70206001,CAMPO ALEGRE (P),55,108
70206002,COCOBOLAS (P),83,195
70206003,EL ESTERITO,86,26
70206004,EL JOBO,33,18
70206005,EL MANANTIAL,311,696
70206006,EL ARBOLITO (P),10,22
70206007,PALMA GRANDE (P),22,53
70206008,BARRIADA LA PRIMAVERA,113,257
70206009,LAS COMADRES,42,10
70206010,PLAYA OLIVO,1,0
70206011,LA CUCHARITA,5,5
70206012,LA TOYOLOSA,2,5
70206014,VILLAS COCO DEL MAR,40,2
70206015,RESIDENCIAL VILLA MILU,31,35
70206016,RESIDENCIAL CAMPOS DE ARVIKA,54,65
70207001,AGUA BUENA,28,61
70207002,CERRO AGUDO,11,26
70207003,CERRO GRANDE,4,1
70207004,EL LARGO,48,101
70207005,EL MUÑÓZ,96,186
70207007,LOS POTREROS,4,8
70207008,BAJO EL GUÁSIMO,9,2
70207009,LOMA HIGUERÓN,6,3
70207010,PASO LAS TRANCAS (P),2,1
70207011,EL PICACHO ARRIBA,4,11
70207012,LA MONA,1,0
70208001,EL PEDREGOSO,193,288
70209001,LA LAJA,230,329
70209002,LOMA BONITA,129,242
70209004,VALLE RICO,24,34
70210002,EL ASOMADERO,8,17
70210003,EL LORO (P),22,30
70210004,EL ESPAVEITO (P),16,26
70210005,LA MIEL,45,83
70210006,LOS DOMÍNGUEZ,17,25
70210007,EL CACAITO (P),9,4
70210008,EL PITAL,1,5
70210009,LOS PORTORRICOS,24,43
70210010,EL MONTOSO,3,4
70210013,QUEBRADA LA PALMA,1,0
70210014,LOS NARANJITOS,4,6
70210015,LA LOMA DEL LORO,2,0
70211002,LA PALMA,807,1016
70211003,LAS CAÑAZAS,52,100
70211004,EL CEIBO,4,6
70211005,QUEBRADA ALMARÍA (P),2,0
70211006,EL CUSCÚ,1,0
70212001,LA TIZA,560,1181
70212002,BARRIADA SAN ANTONIO,81,157
70212003,SAN MARTÍN,59,101
70212004,BARRIADA SANTA ELENA,125,268
70212005,BARRIADA SAN PEDRO (P),19,51
70212006,BARRIADA EL NAZARENO,27,74
70212007,SANTA MARTA (P),10,11
70213001,EL CHOCLO O BARRIADA 8 DE NOVIEMBRE,434,921
70213002,LA CHABELA,1,1
70213003,LAS PALMITAS,476,1146
70213004,LAS PALMITAS CHIQUITAS,22,32
70213006,SANTA MARTA (P),174,359
70213009,RESIDENCIAL LOS BOSQUES,187,284
70214001,LAS TABLAS ABAJO,441,938
70214002,PAUSILIPO,3,18
70214004,LA COLORADA,1,1
70214005,LA PETALUÑA O LOS HATILLOS,34,67
70214007,BARRIADA NUEVA ESPERANZA,220,483
70214008,LOS SOLICES DE ZARZAVILLA,47,107
70214009,PLAYA COLORADA,10,6
70214012,VILLA MARGARITA,26,61
70214013,BARRIADA ALTOS DE SAN FRANCISCO,14,25
70214014,BARRIADA DOÑA BLAZA,82,92
70214015,BARRIADA DOÑA EDITA,7,10
70214016,RESIDENCIAL LUNA TABLEÑA,17,3
70214017,LAS TABLAS (P),155,322
70214018,RESIDENCIAL PRADERAS DEL MANATIAL,26,37
70215002,LOS CEDROS,1,0
70215003,EL CACAITO (P),16,11
70215005,LA LOMA,23,39
70215006,LA VIGÍA,3,0
70215007,LOS CRESPOS,1,5
70215008,LOS MEDIOS,15,13
70215009,NUARIO,58,77
70215014,HONDO DE LA CUTARRA,2,0
70215015,LOS BÚHOS,14,14
70215016,LOS CERRITOS,4,3
70215017,LOS PLANES,3,2
70215018,EL MADROÑO (P),5,7
70215022,LA ENCAJONÁ,10,2
70216002,PALMIRA,67,140
70217003,LOS VERGARA,41,96
70217004,PEÑA BLANCA,435,947
70218001,BAJO DEL RÍO,1,0
70218002,CAÑAZAS,1,0
70218003,EL BAJO,23,32
70218004,EL CERRUD,12,16
70218005,EL JENGIBRE,20,41
70218008,MONAGRILLO (P),20,31
70218009,RÍO HONDO,39,59
70218010,LAS ESTANCITAS,1,0
70218011,LA CULANTROSA,3,1
70218012,EL PILÓN,1,2
70219002,LA MINA,6,4
70219004,LA ESTRELLA,3,4
70219006,LA MANDINGA,2,1
70219009,MENSABÉ,8,17
70219010,EL SALADITO,4,2
70219011,SAN JOSÉ,304,551
70219012,LA CALZADA,1,2
70219014,EL HIGUITO,17,40
70219015,LA CANTERA,5,10
70219016,LAS MARIANAS,2,14
70219017,PIEDRAS BLANCAS O ÁGUILA,1,0
70219018,BAJO APARICIO,1,11
70219019,PASO LAS TRANCAS (P),1,0
70220002,EL GUABO,11,6
70220003,SAN MIGUEL O LAS YESCAS,63,108
70221001,BELLA VISTA,39,87
70221004,EL UVERITO,180,42
70221005,LA ENEA DE MENSABÉ,2,6
70221006,PALMA GRANDE (P),4,59
70221007,PUERTO DE MENSABÉ,12,5
70221008,SANTO DOMINGO,1048,1897
70221009,CAMPO ALEGRE (P),35,95
70221011,BARRIADA SANTA CRUZ (P),10,25
70221012,EL ARBOLITO (P),6,12
70221013,FINCA FÁTIMA,2,0
70221014,FINCA DEL RÍO MENSABÉ,2,1
70221015,PALMA CHIQUITA,2,3
70222001,PEÑA RODA,88,219
70222002,SESTEADERO,401,738
70222003,NANZAL,3,5
70222004,SAN CRISTÓBAL,10,19
70222005,PASEO TABLADO,37,72
70223001,EL ESPAVEITO (P),6,11
70223002,EL GUAYABO (P),49,80
70223003,EL LIMÓN,2,0
70223008,LOS CEDROS,5,7
70223009,LOS MARAÑONES,18,25
70223011,LOS PERONILES,12,18
70223012,EL PICACHO,18,26
70223014,PUEBLO NUEVO O ALTOS DEL NANZAL,5,0
70223015,VALLE RICO,103,147
70223016,EL LORO (P),4,9
70223018,JAGUE,1,0
70223019,ORIA,1,1
70224002,TRINIDAD,57,65
70224003,VALLERRIQUITO,144,177
70224004,EL CERRO,1,1
70301003,CAÑA BRAVA No.1,4,1
70301004,CAÑA BRAVA No.2,16,21
70301005,CAÑA BRAVA No.3,17,31
70301007,COLÓN No.2,23,46
70301008,CERRO EL BARCO,64,143
70301009,EL BONGO,94,186
70301013,EL RASCADOR,34,49
70301015,LA VILLA DE LOS SANTOS,3721,7840
70301016,SAN AGUSTÍN (P),249,567
70301018,PUENTE MATÍAS HERNÁNDEZ,22,61
70301019,BARRIADA SANTA CRUZ (P),8,17
70301020,EL EJIDO (P),14,19
70301021,EL HATILLO,15,29
70301023,EL TOLLAO,6,12
70301024,HUERTAS ARRIBA,76,208
70301026,LAS HUERTAS (P),1,0
70301028,LOS GUTIÉRREZ (P),5,7
70301029,LOS ZANJONES (P),7,8
70301030,JOBO DULCE (P),1,0
70301031,LA FABIANA (P),1,1
70301034,LA LAGUNA,4,3
70301036,LOS BÚHOS,1,1
70301037,MEMBRILLAL,1,0
70301038,RESERVA DE AZUERO,246,474
70302001,SAN LUIS,151,334
70302002,CERRO HIGO,4,2
70302003,COCOBO,14,23
70302004,EL BALSO,5,5
70302005,EL CHATO (P),6,14
70302006,EL GUÁSIMO,91,167
70302008,ATALAYITA,12,22
70302009,LAS LAJITAS,9,19
70302010,EL SALITRE,2,1
70302011,TOLETA,21,25
70302014,EL GUASIMITO,13,17
70303001,ATALAYITA,78,152
70303002,CANSINO,17,32
70303003,COLORADA ABAJO,56,107
70303006,EL MELÓN,21,42
70303007,EL GUAYABITO,45,92
70303008,LA COLORADA,83,191
70303009,LA CORNETA,35,86
70303010,LAS MONAS,21,48
70303011,LOS PICADORES,25,49
70303012,PICA PICA,10,19
70303013,RODEITO,65,155
70303014,BARRIADA SAN ISIDRO,24,45
70304001,EL CRISTO,126,321
70304002,LA ESPIGADILLA,603,1281
70304003,LA ESPIGADILLA ARRIBA,61,120
70304004,LAS LOMITAS,31,58
70304006,LAS LAJAS (P),1,0
70304007,LA YEGUADITA (P),2,0
70304008,LOS GATOS,2,2
70305002,LA CARRIZALA,18,56
70305003,COROZAL ABAJO (P),10,18
70305004,LA GALERA,16,26
70305005,GUARAREITO,61,138
70305006,LA LIMONA,72,171
70305007,LAS CRUCES,421,1009
70305009,LOS CHACONES,1,0
70305012,RINCÓN GRANDE O CABUYA,6,14
70305016,EL ÑOPO,5,17
70305017,POZO EL BARRO,2,2
70305019,LOS LIMONCITOS,6,12
70306004,EL NANCECILLO,104,204
70306008,LA MINA,30,60
70306010,LAS GUABAS,105,180
70306011,CAÑAZAS,77,140
70306012,LAS GUABAS ARRIBA,21,40
70306013,SANTA CLARA,48,104
70307002,EL DORMILÓN (P),24,30
70307004,LAS LAJITAS,69,146
70307005,LOMA LARGA,127,253
70307006,LOS ÁNGELES,163,362
70307007,LLANO BONITO,62,148
70307008,LA HONDA NO.2,2,4
70308002,CIÉNAGA LARGA,37,87
70308003,EL BIJAO,86,156
70308004,EL GUAYABAL,198,456
70308005,LOS OLIVITOS,5,5
70308006,LOS OLIVOS,328,740
70308008,QUEBRADA GRANDE,9,24
70308009,FINCA LOS OLIVOS,3,3
70308010,LA CHILONGA,3,2
70308011,LA BOLEDA,3,11
70309001,JOBO DULCE (P),334,801
70309004,LAS PEÑAS,191,462
70309005,LLANO LARGO,431,977
70309008,LOS ZANJONES (P),16,42
70309009,LAS LAJAS (P),2,2
70309010,SAN AGUSTÍN (P),3,9
70309011,BARRIADA EL POZO DEL OBISPO,103,269
70309012,URBANIZACIÓN LAS DELICIAS,32,86
70309013,URBANIZACIÓN YOLANDA ROSA,29,41
70310002,EL DORMILÓN (P),20,56
70310003,EL JATO,51,135
70310004,EL ROBLE,9,20
70310005,LA GARNICA,12,19
70310006,LA JAGUA,20,58
70310007,EL ESPINAL (P),4,5
70310008,LAS MARÍAS,50,94
70310009,LAS ZATRAS (P),96,243
70310011,LOS AGALLOS,69,153
70310012,LOS CHACONES,70,149
70310014,SABANA GRANDE,226,448
70310015,SABANA GRANDE ABAJO,124,270
70310016,SABANA GRANDE ARRIBA,139,303
70310017,TABOGA,40,98
70311004,EL JOBO (P),4,12
70311010,PLAYA MONAGRE,145,229
70311011,SANTA ANA ABAJO,188,403
70311012,SANTA ANA ARRIBA (P),504,1067
70311013,BARRIADA SANTA CRUZ (P),23,45
70311014,EL ROMPÍO,132,165
70311017,LAS HUERTAS (P),3,11
70311018,LOS GUTIÉRREZ (P),11,27
70311020,HONDITA,1,0
70311022,BOCA VIEJA,12,2
70311023,EL ESTERO DE LAS GUAYABERAS,4,1
70311024,LOS ISLONES,1,0
70311025,EL NIGÜITO,2,4
70311026,FINCA LOS CAMARONES,3,8
70311027,JARDINES DEL ROMPÍO,32,9
70311028,LA CAMARONERA,1,2
70311029,URBANIZACIÓN VILLAS DEL MAR,13,19
70312004,TRES QUEBRADAS,377,862
70312005,LAS TETILLAS,1,2
70313001,AGUA BUENA,489,1079
70313002,CAÑAZAS,37,73
70313003,LAS ZATRAS (P),41,108
70314001,CAPURÍ,105,205
70314002,ENTRADA DE LA MINA,14,19
70314003,GUEVARA,23,57
70314004,LA FABIANA (P),14,20
70314005,LA LAJA,176,391
70314007,LOMA COLORADA,14,36
70314008,VILLA LOURDES,189,475
70315001,EL AROMO,82,193
70315002,EL EJIDO (P),414,987
70315003,FINCA EL PARAGUA,1,3
70315004,LA HONDA,96,251
70315005,LA LAJA,3,3
70315006,LOS GUTÍERREZ (P),7,10
70315007,QUEBRADA HONDA,21,56
70315008,SANTA ANA ARRIBA (P),1,1
70315009,VILLAS DE SAN JOSÉ,33,90
70315010,RESIDENCIAL SANTA BÁRBARA,213,407
70315011,URBANIZACIÓN QUINTAS DEL CARMEN,68,118
70315012,RESIDENCIAL JACASA,3,5
70315013,VILLA MERCEDES,25,62
70401002,BOTELLO,12,26
70401004,EL ESTACÓN,36,85
70401006,EL PARADERO,10,14
70401009,LOS LEALES (P),43,96
70401011,LOS HATILLOS,29,77
70401012,LOS HIGOS,95,188
70401013,MACARACAS,1015,2124
70401015,BARRIADA 11 DE OCTUBRE O EL GUABO,77,173
70401017,EL SALITRE O LAS LOMAS,9,14
70401018,EL TECAL,2,10
70401019,FINCA SANTA ROSA,2,3
70401020,LA MIEL,3,10
70401022,FINCA BOTELLO,4,12
70402001,BAHÍA HONDA,66,129
70402002,EL PONTÓN,22,67
70402003,EL JOBO,5,6
70402006,LOMA REDONDA,24,49
70402007,BOTONCILLO,127,240
70402008,LOS JACINTOS,50,80
70402010,PACORITA,13,19
70402011,RÍO ARRIBA,10,23
70402012,BAHÍA HONDA ABAJO,30,72
70402013,LA SABANETA DEL PONTÓN (P),1,1
70403002,BAJOS DE GÜERA (P),26,52
70403003,EL CACAO,2,0
70403004,EL CÁNTARO,6,9
70403006,EL COMEJÉN,2,3
70403007,EL MELCHOR,1,3
70403008,EL TALLO,18,22
70403009,GÜERITA,50,95
70403011,LA PIFA ABAJO,5,0
70403012,LA HIGUERILLA,1,1
70403013,LA HIGUERONA,14,8
70403014,LA LAJITA (P),5,6
70403016,LA PIFA ARRIBA,4,8
70403017,LA PAULA,19,29
70403018,LA PRIETA,58,123
70403021,LOS GATOS,4,10
70403022,LOS NARANJOS,4,1
70403023,PASO HONDO (P),4,2
70403024,TULÚ ABAJO,44,65
70403026,LA COLORADA,20,25
70403027,LA PALMA,1,1
70403030,LA PITA,2,1
70403031,LA RIALEJA (P),1,0
70403032,TULÚ ARRIBA (P),2,7
70404001,COROZAL,158,346
70404002,COROZAL ABAJO (P),6,14
70404003,EL BIJAO O COROZAL ARRIBA,37,77
70404004,EL CASTILLO,18,38
70404005,PALENQUE,18,49
70404006,EL PANTANO,20,39
70404007,LOMA PANAMÁ,13,21
70404008,LOS CERRITOS,2,0
70404009,LA SABANETA DEL PONTÓN (P),15,21
70404010,CEDRO ABAJO (P),14,26
70404012,EL CARNERO (P),2,6
70405001,CHUPÁ O LA MESETA,201,367
70405002,CHUPAITO,56,117
70405003,EL COMÚN,14,33
70405004,LA IGUANA,11,17
70405005,LOS PALMARES,15,37
70406001,CAPIREJA,3,1
70406002,CEDRO ABAJO (P),60,117
70406003,CEDRO ARRIBA,63,93
70406004,EL BRAVO,27,43
70406005,EL CARNERO (P),4,3
70406006,EL HATO,21,27
70406007,LA MECA,14,30
70406008,LOS LEALES (P),32,98
70406009,EL GUAYACÁN,11,16
70406010,LOS MELGAR,40,74
70407002,ESPINO PRIETO,15,29
70407003,ESPINO AMARILLO,39,103
70407005,LAS MARGARITAS,8,4
70407006,LOMA AZUL,4,3
70407007,LOS PALACIOS,2,7
70407008,PASO LAJA,1,0
70407009,QUEBRADA FRÍAS,9,23
70407010,PARADERO (P),6,13
70407011,SABANETA DE LEÓN,20,29
70407012,LA PALMA,1,0
70407013,ALTO DE LAS MARGARITAS,1,0
70408001,EL BALSO,13,19
70408003,HONDO DEL NARANJO,7,10
70408004,EL PEDRITO,6,4
70408005,LA LAJITA (P),6,8
70408006,LA MESA,215,396
70408007,LA MESITA,15,24
70408008,LA NONECA,3,6
70408009,LAS BENITAS,17,38
70408010,QUITO,20,23
70408011,TEBARITO,2,8
70408012,TUMACO ABAJO,14,22
70408013,HONDO DEL NIGUITO (P),32,85
70408014,TUMACO ARRIBA (P),2,3
70408016,COCLITAS,8,19
70408017,LOS CARATALES,5,8
70409001,BUENA VISTA,6,1
70409002,EL CARATILLO,27,44
70409003,EL PÁJARO,61,103
70409004,LAS PALMAS,8,10
70409005,LOS BAJITOS ABAJO,12,9
70409006,LOS BAJITOS ARRIBA,6,2
70409007,LOS GUAYABOS,25,42
70409008,LOS NEGROS,4,4
70409009,LOS RASTROJOS,41,88
70409010,PICACHO,3,6
70409012,QUEBRADA DEL CALABAZO,28,58
70409013,EL MANGLILLO,3,6
70409014,LA LAGUNA,8,15
70409016,LOMA SECRETA O LAS LOMAS,3,0
70409018,LA GUÁCHARA,8,7
70409021,RIHITO,1,0
70410002,BOMBACHITO,107,214
70410003,BOMBACHO,71,137
70410004,LA LAJA,47,114
70410005,EL CORRALITO,25,20
70410006,EL FALDAR (P),45,75
70410007,EL HORTIGO (P),1,2
70410008,EL TIGRE,2,0
70410010,LA LLANITA,2,0
70410019,LLANO DE PIEDRA,514,1150
70410020,LOMA BLANCA,5,1
70410021,LOS AJÍES,10,15
70410024,MONGOY,1,2
70410025,PLATANAL (P),6,3
70410026,RÍO ARRIBA,28,24
70410028,SAN ANTONIO,25,35
70410030,LA ANGOSTURA,2,0
70410031,RÍO ABAJO (P),1,0
70410032,LA LAJITA (P),4,10
70410033,LOMA BOMBACHO,1,2
70410035,MANDINGA,1,0
70410036,RÍO TEBARIO,3,0
70411003,CARIACO,8,6
70411005,EL ROBLE,13,17
70411006,LA LOMA DE LA PALMA,9,8
70411008,LA RANA,11,12
70411010,LA RAÍZ,3,0
70411011,MOGOLLÓN,33,52
70411013,PLATANAL (P),4,2
70411014,QUEMA (P),51,58
70411015,RÍO ABAJO (P),16,25
70411016,CANAJAGUA (P),8,3
70501002,CUATRO VIENTOS,17,27
70501003,LA AHUMADA,2,10
70501004,LA ARENA,7,7
70501005,LA GARITA,2,4
70501006,LAS CABEZAS,65,121
70501007,EL LIMÓN,98,157
70501008,LOS DESTILADEROS,78,73
70501010,BARRIADA LOS DESTILADEROS,29,77
70501011,MATEO,3,8
70501012,PEDASÍ,1288,2316
70501013,PUNTA MALA,5,0
70501014,LA MONTAÑA DE LA PALMA,7,0
70501015,RÍO ADENTRO,7,0
70501016,PUERTO ESCONDIDO (P),9,5
70501017,ROCHA,5,18
70501018,CALDERA,14,13
70501019,EL BAJADERO O PLAYA ARENAL,5,12
70501020,EL TORO O PLAYA EL TORO,5,5
70501022,EL PANTANO O VÍA EL LIMÓN,18,16
70501023,HACIENDA LOS GAVILANES,19,28
70501024,LA NONECA,1,1
70501027,QUEBRADA LA PALMA,4,0
70501028,BRISAS DEL TORO,10,2
70501029,COSTA PEDASÍ,35,33
70501030,EQUUS VILLAGE,13,23
70501031,RESIDENCIAL ANDRÓMEDA,38,24
70502010,EL JAZMÍN,2,0
70502013,JUAN DÍAZ,6,0
70502015,PLAYA LA MIEL,1,0
70502021,LOS ASIENTOS,257,408
70502023,LOS HIGOS,80,131
70502026,LOS PORTORRICOS,10,5
70502027,LOS POZOS,22,31
70502028,LOS RINCONES,9,12
70502029,LOS YESCOS,30,39
70502033,PALACIOS,13,9
70502037,SAN FRANCISCO,26,28
70502038,SIETE VUELTAS,3,1
70502041,LA AGUSTINA,5,3
70502045,COBACHÓN,12,9
70502047,ORIA,15,2
70502050,SANTA LIBRADA,6,21
70502052,EL CHUMICO,18,9
70502054,LA NAZARIO,7,3
70502056,PLAYA ORIA O BOCA DE ORIA,1,0
70502057,EL FALDAR,2,3
70502058,PUERTO ESCONDIDO (P),3,0
70503001,ARBOLITO,2,7
70503002,FRANCO,3,0
70503005,MARIABÉ (P),198,337
70503006,QUINDI,9,4
70503008,EL ROBLE,5,2
70503009,LA ENEA,2,7
70503010,BOCA DE RÍO PEDASÍ,7,0
70503012,PLAYA EL RINCÓN,40,7
70503013,PLAYA RINCONCITO,2,0
70503014,PUNTA DEL TIGRE,21,3
70503015,FINCA LAS PERLAS,9,2
70503016,PUERTO PURIO,3,4
70504001,BUENOS AIRES,59,81
70504002,LOS CERRITOS,5,1
70504003,PUEBLO NUEVO,8,2
70504004,PURIO,252,383
70504005,QUEBRADA LA CRUZ,2,5
70504006,RÍO PURIO (P),5,3
70504007,MARIABÉ (P),4,7
70504008,BUENA VISTA,1,7
70504009,SEÑAGO,2,4
70504011,LOMA GOYO,1,0
70504012,LOS VÁSQUEZ,1,5
70505001,AGUA BUENA,8,3
70505002,ALTO DEL ESPINO PRIETO,5,2
70505003,ALTOS DE LA QUEBRADA GUABO,2,0
70505005,ALTOS DEL CAÑAVERAL,3,0
70505006,CABECERA DE QUEBRADA PALMA,2,0
70505007,CALABACITO,1,2
70505008,EL CIRUELO,95,50
70505009,EL TORO,45,33
70505010,LA SAÍNA (P),1,0
70505011,LA SECA,2,0
70505012,LA VACA (P),3,5
70505013,LAS ESCOBAS,1,0
70505014,LAS ESCOBAS DEL VENADO,43,20
70505015,LOMA LA PAVA,3,1
70505016,LOS ACHOTINES,15,11
70505017,LOS ALGODONES (P),12,9
70505018,LOS COLORADOS,2,0
70505019,MINA HONDA,3,1
70505020,ORIA ABAJO,2,6
70505021,ORIA ARRIBA,76,134
70505022,ORIA No.1,8,0
70505023,PLAYA VENAO,79,68
70505024,PUERCO BLANCO,1,0
70505025,QUEBRADA LA PALMA,3,0
70505027,ALTOS DEL CAIMITO,1,0
70505028,CATIVAL,2,0
70505029,EL CAIMITO,2,0
70505030,EL CONEJO,1,0
70505031,LAS TRES QUEBRADAS,1,0
70505032,LOS RINCONES,2,1
70505033,LOS RANCHOS,1,0
70505034,PUNTA CARACUCHO,3,0
70505035,MADROÑO,1,4
70505036,LOMAS DE PLAYA VENAO,10,5
70505037,BLUE VENAO,71,22
70601002,LAGARTILLO,12,23
70601003,EL ROBLILLO,1,0
70601005,LA CONCEPCIÓN,146,154
70601006,LA LAGUNA,166,303
70601009,POCRÍ,318,463
70601011,RÍO MUÑÓZ,11,15
70601012,RÍO PURIO (P),7,8
70601013,TEMPISQUE,2,5
70601015,EL ESPINAL,1,0
70601016,EL GUAYABAL (P),1,0
70601018,FINCA LAS LAJITAS,2,1
70601020,ARANDA,1,1
70601021,ARENAL,1,0
70601022,FINCA MAMÁ SARA O EL MELONAL,1,2
70601023,LA GARITA,1,2
70601024,ALTO DE LOS HIGOS,1,0
70601026,PLAYA LOS BAJADEROS,6,6
70601027,RÍO POCRÍ,2,0
70601028,FINCA BELLA VISTA,1,0
70602001,EL BEBEDERO,7,6
70602002,COLÁN,48,47
70602003,EL CAÑAFÍSTULO,95,128
70602004,MAÑÓN,6,6
70602006,LOMA GRANDE,8,11
70602009,EL MARAÑÓN,18,14
70602010,PUEBLO NUEVO,37,59
70602011,QUEBRADA BUSTAMENTE (P),4,0
70602012,EL TABANITO,1,0
70603001,CALIFORNIA,10,7
70603002,ENTRE DOS RÍOS,41,50
70603003,EL CARRIZAL,16,23
70603005,LA MADERA,23,19
70603006,LA NANZOSA,4,1
70603007,LA PLATANERA,10,7
70603008,LAJAMINA,267,305
70603010,LOS CERROS,18,22
70603011,LOS PANAMAES,15,25
70604002,LA CANDELARIA,188,178
70604003,FINCA MAYORCA,4,8
70604004,NUEVO OCÚ,59,130
70604005,PARAÍSO,194,244
70604007,EL CRUCE,3,2
70604008,FINCA LAS VERANERAS,2,5
70604009,FINCA LOS ALGARROBOS,2,0
70604010,FINCA LOS BAJOS,2,10
70604011,LA ALBINA,1,0
70604013,LAS LOMAS,4,9
70604015,LOS BAJOS DE LA PALMA,3,1
70604016,QUEBRADA ALMARÍA (P),3,2
70604017,EL ESTERO,1,0
70604022,LAS PLANCHAS,1,0
70605001,CARRICILLAL,55,66
70605003,EL TABANO,18,16
